Name,Postcode,URL
Chatham Green Project - Hyde Hall Farm,CM3 3FE (CM3 3LQ For Sat Navs),http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7HJSSNE383B1
Chedzoy & Gothard,TA3 6JQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7LRDZO75GKI5
Chegworth Valley,ME17 1DE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A35P8VOPGDBGZ
Cheshire Wildlife Trust,SY14 8EF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3SKKUKKWTEIO
Church Farm,GL20 6HT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A74IWQ0NFMXJQ
Clavering Place Farm,CB11 4RN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2RJQOBCVOVC1
Click Cluck,CB7 5NR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4A3QVIHIKS0I
Clyth Mains (Hen Sheds),KW3 6AX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7DHLPK34WJZS
Commonwork at Bore Place (ONLY OPEN 12TH JULY 2015),TN8 7AR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2LJJ5QNUTAPJ
Cools Farm,SP3 6DB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2NI4YS0FYWWB
Cornerways Nursery,PE33 9RS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4E36PYOP5V5K
Cotesbach Estate,LE17 4HX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4R7MAELXR2UP
Coulton Mill Farm,YO62 4ND,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4DVCA30JRVU6
Courthill Farm,BN18 0RL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2NE9W4SFM9M0
Cowran Estate,LA12 0JW,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7HK2XU530GX4
Cranborne Farms,BH21 5RN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6AK226YGN1OJ
Crichie Farms,AB42 5DY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5UR5LUBPHBC1
Crooked End Farm Limited,GL17 9XF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7J3YY7RQLFKW
Crutchley Farms,DT6 3SS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3KE2T2Y48S3L
Curborough Hall Farm,WS13 8ES,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7AADNYF26SVH
Curlew Fields Farm,YO26 8JS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A49KXYR1OVDXZ
D H Lodge & Son,LS26 9DD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7EL737HKUV0J
Dalmore Farm,IV17 0UX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2RW8FIG1BFST
Densholme Farm,HU11 4UR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A73MO7XNRZJNI
Derby College,DE7 6DN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6W66U9WJ5K7N
Dolgoch Farm,SA38 9EU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5DQIWBF8O1J6
Double H Nurseries Ltd,BH25 5NG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7LKWAIYEGOO8
Down To Earth Farm,SO16 9RG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4CK3KR2PA5VW
Earls Court Farm Ltd,RG17 7SH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A60K16QLKSCH7
East Close Farms,BH23 7EB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3JNIU4MBKYB7
Eastleach Downs Organic Farm,GL7 3PX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7ACL558FNRJM
Easton & Otley College,NR9 5DX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4CRTJT1ZM4GZ
Easton Farm Park,IP13 0EQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A63POJAAZCZTN
Elm Tree Farm,BS16 1AA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3H9W2RSHDX2Q
Elmtree Farm,GL12 8HF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A53KPXYKLCJ5N
F.G. Battle & Sons Ltd,LN4 2DS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6UKR5GKRWBT4
Fancys Family Farm,DT5 1FR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A77ZVS7XRDFBO
Farmcare Ltd - Stoughton Estate,LE2 2FG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A440TSQFZO9WL
Farmeco (OPEN ON SAT 6TH & SUN 7TH JUNE 2015),NG13 8JL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A45HHXPPOYIEF
Farmer Copleys Farm,WF7 5AF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7NDH2PN8OMD9
Fell View Park,PR3 1DA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5NL1SWA1NKW7
Field Farm,OX49 5RR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5TZ0DV6MGSTV
Fir Tree Farm,WA11 8RG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3SQNPJGP9UQ3
Five Lanes Farm,SN10 5PT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4LO9Y0VFY8K8
Fiveways Fruit Farm,CO3 0QR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A694ELPE1IO8O
Fold Farm,EN5 4RA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4MLIAA32OIIB
Forty Hall Farm,EN2 9HA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3ZRUST4L3VNW
Fosse Farm,BA3 4RA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1TLZ48B3UX5Y
Fowl Green Farm,YO21 2HN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A23IRHXUM7G73
Foxholes Farm,SG13 7NT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7D5FYS7WQ4AW
Franklins of Thorncote,SG19 1PU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3ZSNXQTJBGB
Frogmary Green Farm (ONLY OPEN 14TH JUNE 2015),TA13 5DJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A42ERKQF8GV1E
Fronlas Farm,SY16 4JA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4PM9CVJ97IGC
G H Dean & Co Ltd,ME9 9BJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A77DHJ0I40VXJ
Gable End Farm,SN15 4JY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A67WASNANKN6S
Geoffrey Mayhew Farms Ltd,IP9 1LH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3H3XFFSVDL74
Glebe Farm,NN14 4ES,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6JQR9UQJFVA1
Gold Hill Organic Farm,DT11 8HB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5I9T8H07R63S
Goldsland Farm,CF5 6BE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6FANA9YEIEX6
Gorse Hill City Farm,LE4 0FJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3ZT10FC1TYAR
Grange Farm,NN29 7HJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3FF0TUJ51LX9
Great Wollaston,SY5 9DN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A70WXPMBHPFTU
Great Wood Farm,NG33 4DH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2RJINRTK4OOQ
Greenlands Farm Village,LA6 1JH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2BPO24Y1O97D
Greystones Farm,GL54 2EN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A233R2HP57T7E
Guiting Manor Farms Ltd,GL54 5UX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A373GB41A6OFQ
GWCT Allerton Project,LE7 9XE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A78SLCUEN9B1S
H Colegrave & Son,OX16 9UP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6JESIL1M0X78
H Weston & Sons Ltd,HR8 2NQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3SRSD49Q0YE7
Hall Farm,CW5 6DF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6T0H6LW5MMJ0
Hall Hunter Partnership - Groves Farm,PO20 2DX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A49R3S9YU4X38
Hall Hunter Partnership - Sheeplands Farm,RG10 8DJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4TLT89OOSCWJ
Hall Hunter Partnership - Tuesley Farm,GU7 1UG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4TLBX9DUWSHM
Hardington Moor National Nature Reserve,BA22 9BH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7DIT5C4SZD7J
Hardiwick Farm,ST18 0ED,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6W35VZBX6LND
Hartland Moor National Nature Reserve,BH20 5DN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A43Y30P6WAE61
Hawkstone Abbey Farm,SY4 5LN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4Y2WN5F6GXPA
Hawley Fields Farm/WHM Work Connections,LE12 7LU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5HX09C7NW5ZW
Hazel Head Farm,LA20 6DX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A79J38EAXTUU8
Hazeldene Rare Breeds Farm,HP5 2XD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6OVCV4HHH97L
Hethenhill Farm,EX15 2NF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6TBO5FUP0PGQ
High Farndale,YO62 7LH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4439DM6CN29H
Higher Bumsley Farm,EX31 4PT,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3BCY2BVN92PN
Highlands Park Farm,DE13 9RU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7DCG5ZUKKMOI
Hill Farm,LE65 1WU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6EVHNDRJG9TL
Hilton of Aldie Farm,KY13 0QJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2XFU8CHAHMQ9
Holkham,NR23 1AB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4FBHX2EVRNIK
Holly Lane Farm,EX21 5UF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A343TOAPVC5AI
Holme Lodge Farm,YO43 4BU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7275RQLUSJR0
Home Farm,SY4 4TN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5HXQEJ1RBXA4
Homegrownandraised,PE28 0UA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A44DB7RC3W27H
Hounslow Hall Estate,MK17 0BU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3IR6JTK8BFQ3
Huntstile Organic Farm,TA5 2DQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A417KQ3VJ0OLL
Ivy House Farm,YO7 4QL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5C0LLZQVBOB5
J & H Robinson (Iford Farms) Ltd,BN7 3EU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2LVS9S5PH6Z2
J B Shropshire and Sons,CB7 5TZ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3T21IARA15E6
J Dobson & Son (Carlton) Ltd,WF3 3QR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2X35WJCEWJPK
Quickes Farm,EX5 5AY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1NM2U0CM4ZW4
J. Cossins & Sons Ltd,DT11 8SF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4JTV959WTJX4
Karoben,TN27 8PD,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A781927ZCUGBV
Kenniford Farm,EX5 1AQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6HY9NGIDEKG1
Kentwell Hall (OPEN SAT 6TH & SUN 7TH JUNE 2015),CO10 9BA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A59IB6T2294S7
Kilmaron Farm,KY15 4PE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4TQTOBY9F72A
Kingham Farms,SN8 2NP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7P2SSD6RUWW
Kirkton & Auchtertyre Farms,FK20 8RU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5ICB4QKCXTTN
Knepp Castle Home Farm,RH13 8NN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A580ERIRXFSOW
Kylerona Farm (Macleod Organics),IV2 7QZ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5TNDEOXPXPE9
L J Betts Ltd,ME19 5NX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4TVN3824WSQV
Laceys Family Farm,HP14 3LP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3905RPDAHWQV
Leckford Estate - the Waitrose Farm,SO20 6JF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2Q4JBF2OWGLX
Lewis Partners,IP20 9QU,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6JQ5WDBD0MJP
Lindsey Lodge Farm Limited,IP7 6QA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A2WX4YZ5LTTSM
Little Gate Farm,TN31 6RZ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A56O3IEQD793M
Little Heath Farm,WA14 4SE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6B1ZCGL3UM3C
Little Markfield Farm,LE67 9UN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1XERHZ31NB2E
Lizzie's Farm,B61 0QG,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7NGLAK3PSU0X
Longlands Farm,DE12 6RY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6G8AUA8ECI7Q
Lotmead Farm,SN4 0SN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7F672X9IV392
Low Sizergh Farm,LA8 8AE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A75W8T6N58FY0
Lower Blakemere Farm,HR2 9PX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A74OZQ63QE129
Lower Castle Hayes,DE13 9PH,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A56SHOTLR3MJA
Lower Drayton Farm,ST19 5RE,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A413UBZURQV55
Lower Farm,DT9 6QX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7HI1MYLHTFYR
Lower Hewood Farm,TA20 4NR,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7IVR5CPCNB2N
Lower Marsh Farm,TA2 8AB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4TPSNZ9QMTP6
Lower Sycamore Farm,S74 9NL,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7629UEVCY19Z
Loxley Valley Community Farm,S6 6RB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7KQAB7OON47D
Manor Farm,LE17 6DB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A693XTQPO6J0X
Manor Farm,SN11 8SW,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1AYKXFSUTW6D
Manor Farm,CB23 1EY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1C1GOZPTVTYR
Markwell Farm,PL12 5EQ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6XE8NJ05PS4J
Marsh Farm & Chalder Farm,PO20 7RN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A41PD8RU9V3IL
Meadowlea Farm,TA13 5EX,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A7HCQYHS97EHG
MHS Farms Ltd,PE6 0SY,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A1DFKYS7NKZTX
Middle Farm,SO24 0PW,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5WC6ZAMJ5M6C
Minting Park Farm,LN8 5JP,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A37HAEU6H94HT
Molescroft Grange Farm,HU17 9FS,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6PF49EBOIEFW
Moor Farm,SY4 2BA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A5DPCI7AYHFNE
Morley Farms Ltd,NR18 9DF,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4YFHVD77YF8M
Muddy Boots,KY15 7TJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A77X77SA4J5LY
Murton Moor Farm,SR7 9TN,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4ZLHKKULTNTU
Newbottle Estate Farms,NN13 5PJ,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A6XANEDMP15VH
Newcastle University - Cockle Park Farm,NE61 3EA,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A4LG0Q6EMRTQT
Nibthwaite Grange Farm,LA12 8DB,http://www.farmsunday.org/ofs12b/visit/event_details.eb?guid=1OXH0BEN62.A3VI0N3FISJ07
